日期,身份別,期貨多方交易口數,選擇權多方交易口數,期貨多方交易契約金額(千元),選擇權多方交易契約金額(千元),期貨空方交易口數,選擇權空方交易口數,期貨空方交易契約金額(千元),選擇權空方交易契約金額(千元),期貨多空交易口數淨額,選擇權多空交易口數淨額,期貨多空交易契約金額淨額(千元),選擇權多空交易契約金額淨額(千元),期貨多方未平倉口數,選擇權多方未平倉口數,期貨多方未平倉契約金額(千元),選擇權多方未平倉契約金額(千元),期貨空方未平倉口數,選擇權空方未平倉口數,期貨空方未平倉契約金額(千元),選擇權空方未平倉契約金額(千元),期貨多空未平倉口數淨額,選擇權多空未平倉口數淨額,期貨多空未平倉契約金額淨額(千元),選擇權多空未平倉契約金額淨額(千元)
2021/09/01,自營商,39160,321119,52728505,681159,36322,337017,51332650,719570,2838,-15898,1395855,-38411.0,94606,106852,82163730,1017446,92828,108585,45689471,780624,1778,-1733,36474259,236822
2021/09/01,投信,62,7,216698,14,43,7,134524,0,19,0,82174,14.0,22668,62,65776623,112,19738,0,60559382,0,2930,62,5217241,112
2021/09/01,外資及陸資,307322,199849,328184556,600003,318713,200922,337341315,614874,-11391,-1073,-9156759,-14871.0,104272,43606,112886627,479715,350106,73728,240426623,943890,-245834,-30122,-127539996,-464175
2021/09/02,自營商,38537,211145,46919075,672198,36809,212870,48156206,689920,1728,-1725,-1237131,-17722.0,96278,130372,80108858,960411,92340,133852,45174899,779940,3938,-3480,34933959,180471
2021/09/02,投信,4,0,13870,0,373,0,1291697,0,-369,0,-1277827,0.0,22523,62,64705035,153,19962,0,60806894,0,2561,62,3898141,153
2021/09/02,外資及陸資,322973,101210,363178288,561629,321264,102354,348128724,560834,1709,-1144,15049564,795.0,102238,46445,110903084,439774,346333,77711,222477604,825233,-244095,-31266,-111574520,-385459
2021/09/03,自營商,35148,216004,43530246,705116,35145,202396,46036016,625736,3,13608,-2505770,79380.0,98717,150183,84044730,1198218,94766,140041,51252469,887633,3951,10142,32792261,310585
2021/09/03,投信,352,0,1232332,0,269,0,595173,0,83,0,637159,0.0,22270,62,64881294,80,19626,0,60309413,0,2644,62,4571881,80
2021/09/03,外資及陸資,314354,91436,322719292,472091,311326,93983,335332333,489751,3028,-2547,-12613041,-17660.0,106335,49154,109642345,509148,347411,82967,235286559,1000356,-241076,-33813,-125644214,-491208
2021/09/06,自營商,41537,247258,46023473,691464,38706,233044,47622514,638612,2831,14214,-1599041,52852.0,100600,161791,83378549,1167670,93678,137420,52197885,824397,6922,24371,31180664,343273
2021/09/06,投信,27,2,76092,6,254,2,888474,1,-227,0,-812382,5.0,22249,62,64770779,61,19832,0,61007380,0,2417,62,3763399,61
2021/09/06,外資及陸資,380498,140362,372794596,630500,369862,145013,359440094,669970,10636,-4651,13354502,-39470.0,114422,50469,114175297,486793,344853,88933,225993151,986546,-230431,-38464,-111817854,-499753
2021/09/07,自營商,35986,277020,47240380,596634,37207,292177,47275086,643353,-1221,-15157,-34706,-46719.0,101520,164647,85247131,1092540,95771,155447,54169234,816736,5749,9200,31077897,275804
2021/09/07,投信,6,1,18295,3,790,1,2750557,0,-784,0,-2732262,3.0,21470,62,61796572,62,19837,0,60780818,0,1633,62,1015754,62
2021/09/07,外資及陸資,304618,133892,318312510,521366,305281,134633,316054545,538171,-663,-741,2257965,-16805.0,111406,53501,109770949,469145,342503,92706,219070081,936375,-231097,-39205,-109299132,-467230
2021/09/08,自營商,51167,444216,68012147,899706,48517,469575,66813857,918988,2650,-25359,1198290,-19282.0,101105,141085,80289332,958708,92920,114774,48131968,744369,8185,26311,32157364,214339
2021/09/08,投信,40,7,106957,20,858,7,2959573,0,-818,0,-2852616,20.0,21195,62,60240510,107,20380,0,62088710,0,815,62,-1848200,107
2021/09/08,外資及陸資,355324,263071,399109529,827042,350637,260397,393289504,806193,4687,2674,5820025,20849.0,113408,52320,112394578,457981,339829,87384,214542197,804458,-226421,-35064,-102147619,-346477
2021/09/09,自營商,41206,206368,55993749,650733,39453,211374,53548384,665053,1753,-5006,2445365,-14320.0,102992,145279,82857590,938656,92770,123973,48321087,753183,10222,21306,34536503,185473
2021/09/09,投信,94,0,207153,0,838,0,2770764,0,-744,0,-2563611,0.0,20451,62,57597580,92,20380,0,62006649,0,71,62,-4409069,92
2021/09/09,外資及陸資,368279,122581,439406946,691645,365721,117327,435781817,664921,2558,5254,3625129,26724.0,108773,62224,113475578,500484,337133,92034,212152676,800573,-228360,-29810,-98677098,-300089
2021/09/10,自營商,42572,207956,56016763,626478,42853,202013,55076774,562038,-281,5943,939989,64440.0,105596,155228,88155378,1084719,95679,128006,52251694,790196,9917,27222,35903684,294523
2021/09/10,投信,3007,0,5566305,0,2425,0,3516388,0,582,0,2049917,0.0,20535,62,58678457,20,19882,0,61097923,0,653,62,-2419466,20
2021/09/10,外資及陸資,331365,101105,347333333,534989,338901,105734,355626913,569440,-7536,-4629,-8293580,-34451.0,113364,65009,119983330,552705,349272,99448,228388605,1005188,-235908,-34439,-108405275,-452483
2021/09/13,自營商,54321,168418,63391474,397875,52103,180778,60094966,463537,2218,-12360,3296508,-65662.0,108806,154056,94694356,990959,96482,139212,55638077,784371,12324,14844,39056279,206588
2021/09/13,投信,19008,1,61503858,13,19147,2,61952468,0,-139,-1,-448610,13.0,20511,61,58366743,22,19997,0,61233189,0,514,61,-2866446,22
2021/09/13,外資及陸資,364905,104806,388702710,476679,375575,102980,398161026,452496,-10670,1826,-9458316,24183.0,114933,68400,115176924,550270,361532,101013,232522014,948066,-246599,-32613,-117345090,-397796
2021/09/14,自營商,54880,220129,61894466,448193,53526,199685,65691737,403573,1354,20444,-3797271,44620.0,110676,176782,91297649,1041502,97017,141527,55924249,787847,13659,35255,35373400,253655
2021/09/14,投信,18842,1,54056912,11,18623,1,53630444,0,219,0,426468,11.0,20619,61,58730688,27,19887,0,61188652,0,732,61,-2457964,27
2021/09/14,外資及陸資,350702,135365,396477436,513101,347718,141283,393649724,523662,2984,-5918,2827712,-10561.0,117641,70394,121157140,558354,361277,108925,235341299,974577,-243636,-38531,-114184159,-416223
2021/09/15,自營商,68283,370873,88234231,711175,64994,384493,87916460,705891,3289,-13620,317771,5284.0,91003,70992,80872895,487557,55466,62443,31524334,385187,35537,8549,49348561,102370
2021/09/15,投信,275,56,819114,956,1323,7,4534034,0,-1048,49,-3714920,956.0,19783,58,55476904,944,20099,0,61646865,0,-316,58,-6169961,944
2021/09/15,外資及陸資,296414,226722,350815494,616017,297636,228240,342518788,648525,-1222,-1518,8296706,-32508.0,61920,22335,85845563,261443,288560,40418,194794987,327938,-226640,-18083,-108949424,-66495
2021/09/16,自營商,22897,141219,34517160,458717,24348,147532,32594020,476406,-1451,-6313,1923140,-17689.0,92844,92878,83162016,556122,58559,90646,32132150,473098,34285,2232,51029866,83024
2021/09/16,投信,4,0,13800,0,317,0,1066713,0,-313,0,-1052913,0.0,19691,58,54921893,1024,20320,0,62119080,0,-629,58,-7197187,1024
2021/09/16,外資及陸資,209089,67311,233130076,355387,225788,73716,247655200,394868,-16699,-6405,-14525124,-39481.0,67715,27559,83634739,312185,311057,52047,206501603,401438,-243342,-24488,-122866864,-89253
2021/09/17,自營商,27592,201898,42212020,566731,30297,188328,47090233,500906,-2705,13570,-4878213,65825.0,93841,106548,83465131,636286,62128,90736,37193158,492110,31713,15812,46271973,144176
2021/09/17,投信,74,0,256106,0,0,0,0,0,74,0,256106,0.0,19743,58,55242716,937,20298,0,62198945,0,-555,58,-6956229,937
2021/09/17,外資及陸資,240416,91751,304585182,435342,236984,93561,296063922,447036,3432,-1810,8521260,-11694.0,73289,33564,93425795,347032,313208,59862,208217705,457208,-239919,-26298,-114791910,-110176
2021/09/22,自營商,41764,335919,66502081,888346,40626,385380,58454751,1018561,1138,-49461,8047330,-130215.0,97583,87334,88727523,694084,64794,80397,35435315,633771,32789,6937,53292208,60313
2021/09/22,投信,5,8,16894,31,1967,7,6646254,28,-1962,1,-6629360,3.0,18481,59,49734455,1628,20998,0,63159162,0,-2517,59,-13424707,1628
2021/09/22,外資及陸資,270724,182544,354024668,700634,281646,185229,367253477,719357,-10922,-2685,-13228809,-18723.0,73722,28893,85078123,470997,324587,52994,210336008,554387,-250865,-24101,-125257885,-83390
2021/09/23,自營商,29090,159082,38781895,581873,30088,146242,39509192,502182,-998,12840,-727297,79691.0,98473,111041,90328240,707834,67046,91242,37291727,578932,31427,19799,53036513,128902
2021/09/23,投信,481,0,1642749,0,49,0,147945,0,432,0,1494804,0.0,18613,59,50710004,1230,20698,0,62784800,0,-2085,59,-12074796,1230
2021/09/23,外資及陸資,239876,68623,290299165,384233,240279,70868,284570261,414659,-403,-2245,5728904,-30426.0,80741,34601,94312200,407816,332087,60947,215040049,514456,-251346,-26346,-120727849,-106640
2021/09/24,自營商,23832,157026,35246147,526917,26150,147795,37872671,531868,-2318,9231,-2626524,-4951.0,97687,124786,89340244,750085,68540,95787,38323077,608901,29147,28999,51017167,141184
2021/09/24,投信,488,0,1681945,0,39,0,134489,0,449,0,1547456,0.0,18684,59,51458422,928,20320,0,62108082,0,-1636,59,-10649660,928
2021/09/24,外資及陸資,209244,93273,263051171,462970,213557,88780,267416748,459447,-4313,4493,-4365577,3523.0,84367,44872,98383832,402549,339996,66725,225024576,507366,-255629,-21853,-126640744,-104817
